,0,1
301,yahhh,ya
302,leh,boleh
303,ugaaa,juga
304,jerewi,jerawat
305,ilang,hilang
306,jilbabnyaah,jilbabnya
307,yuuuk,yuk
308,warnaaa,warna
309,punyaaa,punya
310,cantiik,cantik
311,sukaaak,suka
312,kebayanyaa,kebayanya
313,mantes,memantas
314,merekaaaa,mereka
315,jugaaa,juga
316,gilaaaa,gila
317,tiga2nya,tiga-tiganya
318,lucuu,lucu
319,emessss,gemas
320,ucullllll,lucu
321,males,malas
322,bangeettt,banget
323,gemesshh,gemas
324,apaaa,apa
325,ampuunn,ampun
326,ciuuuummmm,cium
327,mbil,sambil
328,ngmng,mengomong
329,ngemeng,mengomong
330,epe,apa
331,seehh,sih
332,yank,sayang
333,ucul,lucu
334,yahh,ya
335,gw,gue
336,ngakak,mengakak
337,astagfirrullah,astagfirullah
338,suerrr,suer
339,mnta,minta
340,syg,sayang
341,ntik,cantik
342,pny,punya
343,dapet,dapat
344,suru,suruh
345,lucuuuu,lucu
346,ketawakkkk,ketawa
347,kyanya,kayanya
348,bnget,banget
349,nakutin,menakutkan
350,malingg,maling
351,cocokk,cocok
352,niihh,nih
353,imutttttt,imut
354,satuuuuu,satu
355,sesekk,sesak
356,nafass,nafas
357,bgtt,banget
358,cintaaaaaaa,cinta
359,lucuk,lucu
360,ma,sama
361,duluu,dulu
362,megang,memegang
363,kawinin,mengawini
364,liatin,perlihatkan
365,ny,nya
366,bdan,badan
367,nyaaa,nya
368,gemesin,menggemaskan
369,fotoin,memfoto
370,ngaku,mengaku
371,kaaa,kak
372,ganteng2,ganteng-ganteng
373,pcarny,pacarnya
374,kri,kiri
375,knpa,kenapa
376,pda,pada
377,cmn,cuman
378,gara2,gara-gara
379,garuk2,garuk-garuk
380,tembokk,tembok
381,namax,namanya
382,kiriii,kiri
383,bungkusin,bungkuskan
384,atu,satu
385,dehhhh,deh
386,kakk,kak
387,ngegantiin,menggantikan
388,alloh,allah
389,smpe,sampai
390,msh,masih
