,0,1
1243,nyambet,menyambat
1244,msk,masuk
1245,krmh,ke rumah
1246,rmh,rumah
1247,bo'ong,bohong
1248,eloo,lo
1249,apa2nya,apa-apanya
1250,goblokkk,goblok
1251,sesatt,sesat
1252,ibliss,iblis
1253,elo,lo
1254,kbiasaan,kebiasaan
1255,hdpnya,hidupnya
1256,lbh,lebih
1257,byk,banyak
1258,anknya,anaknya
1259,tdr,tidur
1260,sbuah,sebuah
1261,anak2nya,anak-anaknya
1262,tdnya,tadinya
1263,ank2nya,anak-anaknya
1264,milih,memilih
1265,branjak,beranjak
1266,ank2,anak-anak
1267,masyarakay,masyarakat
1268,mudah2an,mudah-mudahan
1269,menegerti,mengerti
1270,apa2,apa-apa
1271,sok2,sok-sok
1272,nasehatin,menasihati
1273,ngaca,mengaca
1274,ajah,saja
1275,kakkkk,kak
1276,slamet,selamat
1277,ampe,sampai
1278,nari,menari
1279,ehh,eh
1280,mf,maaf
1281,ngcpin,mengucapkan
1282,woowwww,wow
1283,iaa,iya
1284,kdg,kadang
1285,kebagi,terbagi
1286,nerusin,meneruskan
1287,indo,indonesia
1288,univ,universitas
1289,maen,main
1290,wihh,wih
1291,tetapppp,tetap
1292,gantenggg,ganteng
1293,jakety,jaketnya
1294,nggk,tidak
1295,skli,sekali
1296,kli,kali
1297,ttp,tetap
1298,pala,kepala
1299,pusingggg,pusing
1300,pucing,pusing
1301,ihhhh,ih
1302,maho,manusia homo
1303,gantng,ganteng
1304,alak,kepala
1305,hilangv,hilang
1306,bungggg,bung
1307,gapap,enggak apa-apa
1308,kyak,kayak
1309,pling,paling
1310,gokiiill,gila
1311,busedh,buset
1312,gokilnya,gilanya
1313,duluuu,dulu
1314,keceee,kece
1315,nyaa,nya
1316,klu,kalau
1317,gilaa,gila
1318,duuhhh,duh
1319,amiiiiinnnnn,amin
1320,dg,dengan
1321,tullus,tulus
1322,tw,tau
1323,pluk,peluk
1324,durhaka2,durhaka-durhaka
1325,kpada,kepada
1326,"seburuk""",seburuk-buruk
1327,ortu,orang tua
1328,ktaa,kita
1329,yup,ya
1330,tdk,tidak
1331,tetaplaah,tetaplah
1332,ajja,saja
1333,dech,deh
1334,oprasi,operasi
1335,gya,gaya
1336,kndung,kandung
1337,sbg,sebagai
1338,u,lu
1339,ksenangan,kesenangan
1340,ddpt,didapat
1341,jwab,jawab
1342,mmbodohkan,membodohkan
1343,orlaen,orang lain
1344,bgtu,begitu
1345,drpd,daripada
1346,malem,malam
1347,aplikasiin,mengaplikasikan
1348,berangat,berangkat
1349,praktekin,mempraktikkan
1350,dahh,dah
1351,gmn,bagaimana
1352,omdo,omong doang
1353,kate,kata
1354,cabe2,cabe-cabe
1355,prjuangan,perjuangan
1356,kmewahan,kemewahan
1357,stimpal,setimpal
1358,ddpat,didapat
1359,sprt,seperti
1360,bc,baca
1361,mnilai,menilai
1362,kata2,kata-kata
1363,usahh,usah
1364,segala2nya,segala-galanya
1365,sekarng,sekarang
1366,sprti,seperti
1367,mkanya,makanya
1368,hay,hai
1369,mreka,mereka
1370,bhagia,bahagia
1371,korek2,korek-korek
1372,ngebales,membalas
1373,krna,karena
1374,sihh,sih
1375,sasama,sesama
1376,dehh,deh
1377,cabe2an,cabe-cabean
1378,terong2an,terong-terongan
1379,seklian,sekalian
1380,kluar,keluar
1381,tuuu,itu
1382,ngurusan,mengurusi
1383,campurin,mencampuri
1384,emnknya,memangnya
1385,py,punya
1386,unyuu,unyu
1387,mrangkul,merangkul
1388,adlh,adalah
1389,wlo,walau
1390,lh,boleh
1391,manusiy,manusia
1392,tx,tidak
1393,samara,sakinah mawadah rahman
1394,teringt,teringat
1395,trmsuk,termasuk
1396,dn,dan
1397,pilihnmu,pilihanmu
1398,swmntara,sementara
1399,trmasuk,termasuk
1400,orang2,orang-orang
1401,sgt,sangat
1402,liht,lihat
1403,suaminy,suaminya
1404,jadulnya,jaman dulunya
1405,mantaff,mantap
1406,ngata2in,mengatai-ngatai
1407,bagaimna,bagaimana
1408,mulusssss,mulus
1409,bgus,bagus
1410,gmana,bagaimana
1411,kpleset,kepleset
1412,yawlah,ya allah
1413,kepeleset,kepleset
1414,kayanye,kayanya
1415,amiinnnn,amin
1416,komen2an,komen-komenan
1417,wewww,wow
1418,dumsss,dong
1419,tar,entar
1420,perbaikin,memperbaiki
1421,permasalhkan,permasalahkan
1422,betul2,betul-betul
1423,jauhin,jauhi
1424,dateng,datang
1425,adiik,adik
1426,manisss,manis
1427,"besar""",besar-besar
1428,"masing""",masing-masing
1429,ddlm,di dalam
1430,kmbali,kembali
1431,dkuburnya,dikuburnya
1432,fi,di
1433,ttg,tentang
1434,rata2,rata-rata
1435,lbih,lebih
1436,critamu,ceritamu
1437,ja,saja
1438,bres,beres
1439,cmkn,camkan
1440,diurusin,diurusi
1441,biarin,biarkan
1442,kale,kali
1443,donks,dong
1444,"membanding""",membanding-banding
1445,mengperbolehkan,memperbolehkan
1446,krena,karena
1447,ngri,negeri
1448,"dingin""",dingin-dingin
1449,lma,lama
1450,dibangga'in,dibangga-banggakan
1451,ngebolehin,membolehkan
1452,denger,dengar
1453,"jelek""in",menjelek-jelekkan
1454,stiap,setiap
1455,gausa,enggak usah
1456,maksain,memaksakan
1457,smog,semoga
1458,mnerima,menerima
1459,baikxa,baiknya
1460,aaamin,amin
1461,amienn,amien
1462,sekangen2,sekangen-kangen
1463,kt,kita
1464,amiiiiiiiiiinnnnnnn,amin
1465,nolongin,menolong
1466,amiiiiiiiiiiin,amin
1467,seluru,seluruh
1468,amiennn,amien
1469,tebir,ribet
1470,doangam,saja
1471,"tebir""",ribet-ribet
1472,amad,amat
1473,mkst,maksud
1474,wong2,wong-wong
1475,rempong,repot
1476,ngurusin,mengurusi
1477,kerjaan,pekerjaan
1478,bingittzz,banget
1479,bangets,banget
1480,ikh,ih
1481,dwh,deh
1482,nengok,menengok
1483,bante,bantai
1484,la,lah
1485,komenannya,komentarnya
1486,hadapin,menghadapi
1487,dengarin,mendengarkan
1488,ush,usah
1489,cock,cocok
1490,widihh,idih
1491,mantepp,mantap
1492,cita2,cita-cita
1493,temen-temen,teman-teman
1494,stu,satu
1495,syratnya,syaratnya
1496,pnjang,panjang
1497,shat,sehat
1498,inginkn,inginkan
1499,belanjaa,belanja
1500,burem,buram
1501,tlp,telepon
1502,dngan,dengan
1503,ngerasain,merasai
1504,kancang,kencang
1505,tmbh,tambah
1506,mansyoallah,masyaallah
1507,skali,sekali
1508,canttttikkk,cantik
1509,subhanalloh,subhanallah
1510,lkuin,lakukan
1511,langgenh,langgeng
1512,foto2nya,foto-fotonya
1513,tanggung2,tanggung-tanggung
1514,salluutt,salut
1515,pkai,pakai
1516,org2,orang-orang
1517,mkn,makin
1518,seneng,senang
1519,pdng,padang
1520,warbiyasah,luar biasa
1521,pk,pakai
1522,keedaannya,keadaannya
1523,lagu2,lagu-lagu
1524,saya2,saya-saya
1525,sekrng,sekarang
1526,lagu2nya,lagu-lagunya
1527,ttap,tetap
1528,spertinya,sepertinya
1529,mrah,marah
1530,gra2,gara-gara
1531,sngaja,sengaja
1532,jlek,jelek
1533,udah2,sudah-sudah
1534,ungkit2,ungkit-ungkit
1535,pura2,pura-pura
1536,gatau,enggak tau
1537,curhat2,curhat-curhat
1538,matany,matanya
1539,dteng,datang
1540,mata'y,matanya
1541,baju2,baju-baju
1542,buruannn,buruan
1543,emng,memang
1544,perubut,perebut
1545,sumai,suami
1546,tk,tidak
1547,urusin,urus
1548,apah,apa
1549,bagus2,bagus-bagus
1550,say,sayang
1551,mmbela,membela
1552,mslhnya,masalahnya
1553,hnya,hanya
1554,sndri,sendiri
1555,sj,saja
1556,llki,lelaki
1557,dluar,diluar
1558,sna,sana
1559,boleh2,boleh-boleh
1560,dya,dia
1561,maluuuu,malu
1562,beda2,beda-beda
1563,nyaranin,menyarankan
1564,x,kali
1565,tongolin,menongol
1566,cabol,cabul
1567,ape,apa
1568,nyet,monyet
1569,muna,munafik
1570,jing,anjing
1571,tot,entot
1572,nihh,nih
1573,hidiyah,hidayah
1574,percya,percaya
1575,bgi,bagi
1576,tlg,tolong
1577,sya,saya
1578,sdri,sendiri
1579,tdi,tadi
1580,mgkin,mungkin
1581,bhwa,bahwa
1582,skaligus,sekaligus
1583,cek2,cek-cek
1584,spti,seperti
1585,smakin,semakin
1586,sbgai,sebagai
1587,mgk,mungkin
1588,bgmn,bagaimana
1589,sapa2,sapa-sapa
1590,sama2,sama-sama
1591,kyknya,kayaknya
1592,pnya,punya
1593,dng,dengan
1594,termurahhh,termurah
1595,bbrp,beberapa
1596,bhw,bahwa
1597,banyaaaaaak,banyak
1598,baik2nya,baik-baiknya
1599,tunjukan,tunjukkan
1600,anak2mu,anak-anakmu
1601,anak2,anak-anak
1602,ngasih2,mengasih-ngasih
1603,berfikir,berpikir
1604,amit2,amit-amit
1605,mba,mbak
1606,elu,lu
1607,ngajuin,mengajukan
1608,tiba2,tiba-tiba
1609,jkt,jakarta
1610,terbaeq,terbaik
1611,namany,namanya
1612,jels,jelas
1613,diakibtkn,diakibatkan
1614,suk,suka
1615,jelek2,jelek-jelek
1616,dsrny,dasarnya
1617,jkrta,jakarta
1618,mantaap,mantap
1619,benar2,benar-benar
1620,main2,main-main
1621,lanjutkaaaaan,lanjutkan
1622,hiduppp,hidup
1623,ncek,encek
1624,majuuu,maju
1625,teruuss,terus
1626,kdg2,kadang-kadang
1627,looohh,loh
1628,sebelumbya,sebelumnya
1629,tunjukin,tunjukkan
1630,"tahun""",tahun-tahun
1631,koment,komentar
1632,nyampein,menyampaikan
1633,hokiii,hoki
1634,naksir,menaksir
1635,"bangt""",banget-banget
1636,nafkahin,menafkahi
1637,ngitem,menghitam
1638,banyaaaak,banyak
1639,"sama""",sama-sama
1640,gx,tidak
1641,lhat,lihat
1642,cantika,cantik
1643,cwek,cewek
1644,kngen,kangen
1645,fillm,film
1646,sinet,sinetron
1647,jendral,jenderal
1648,nanya,bertanya
1649,maenya,mainnya
1650,cantiks,cantik
1651,wktu,waktu
1652,pilm,film
1653,taon,tahun
1654,nd,indak
1655,slah,salah
1656,cini,sini
1657,jaaangan,jangan
1658,nambah,menambah
1659,naek,naik
1660,terimaksih,terima kasih
1661,inii,ini
1662,kaannnn,kan
1663,tidakkkk,tidak
1664,kemuh,kamu
1665,da,dah
1666,keren2,keren-keren
1667,sby,surabaya
1668,tgl,tanggal
1669,pinginnn,pengin
1670,buanget,banget
1671,ketemuuu,ketemu
1672,kebawa,terbawa
1673,mimpiii,mimpi
1674,wanjerrr,anjir
1675,satupunn,satupun
1676,motret,memotret
1677,temen2,teman-teman
1678,lapakk,lapak
1679,nyeniii,menyeni
1680,bget,banget
1681,seeh,sih
1682,abis,habis
1683,deuhh,duh
1684,b2an,berduaan
1685,dihargain,dihargai
1686,"engga""",enggak-enggak
1687,tahun2,tahun-tahun
1688,lebayy,lebay
1689,gilsss,gila
1690,nganbek,mengambek
1691,sukaa,suka
1692,enk,enak
1693,mendam,memendam
1694,manta,mantan
1695,relaaaa,rela
1696,bgun,bangun
1697,tdur,tidur
1698,cntk,cantik
1699,knl,kenal
1700,anugrah,anugerah
1701,slm,salam
1702,kliatan,kelihatan
1703,awoohhh,allah
1704,cantiikk,cantik
1705,gt,begitu
1706,sbbyak,sebanyak
1707,apun,apapun
1708,nyangkutnya,menyangkutnya
1709,untk,untuk
1710,ampunnnnn,ampun
1711,hy,hai
1712,wadaaw,waduh
1713,paraah,parah
1714,sampw,sampai
1715,dijelekin,dijelekkan
1716,napa,kenapa
1717,azeeeek,asik
1718,ntikk,cantik
1719,uhh,uh
1720,mayan,lumayan
1721,mnisss,manis
1722,tambahim,tambahkan
1723,tambahin,tambahkan
1724,"bener""",benar-benar
1725,make,memakai
1726,canttikkk,cantik
1727,baanggeettt,banget
1728,ap,apa
1729,siiihh,sih
1730,krpoooo,kepo
1731,pengn,pengin
1732,nyusul,menyusul
1733,nyok,yuk
1734,dekkk,dek
1735,ngiri,mengiri
1736,mmang,memang
1737,nentuin,menentukan
1738,mnjmput,menjemput
1739,ygs,sayang
1740,mblooo,jomblo
1741,ber'expresi,berekspresi
1742,jdulnya,judulnya
1743,ciumman,ciuman
1744,aurot,aurat
1745,laginy,laginya
1746,nyaaaaaaaaaaaaa,nya
1747,alkhamdulilah,alhamdulillah
1748,ktnya,katanya
1749,selaluu,selalu
1750,anjirrr,anjir
1751,ngeh,engah
1752,amen,amin
1753,qm,kamu
1754,nahhh,nah
1755,ngmngnya,mengomongnya
1756,sampai2,sampai-sampai
1757,hal2,hal-hal
1758,komunitas2,komunitas-komunitas
1759,fotony,fotonya
1760,halllo,halo
1761,ngiritya,mengiritnya
1762,hematt,hemat
1763,ciyeeee,cie
1764,yeeee,ya
1765,nget,banget
1766,kususnya,khususnya
1767,krm,kirim
1768,sam,sama
1769,ajaaahhhhh,saja
1770,syediiihhh,sedih
1771,malangg,malang
1772,belooomm,belum
1773,yaakk,ya
1774,kebukti,terbukti
1775,anak2e,anak-anaknya
1776,tuwanya,tuanya
1777,comen2nya,komen-komennya
1778,pedesssss,pedas
1779,jelas2,jelas-jelas
1780,skg,sekarang
1781,nyebut2,menyebut-nyebut
1782,plg,pulang
1783,smbil,sambil
1784,hellooooooo,halo
1785,ngrebut,merebut
1786,mnjdi,menjadi
1787,taek,tahi
1788,lupain,melupakan
1789,bangkret,bangkrut
1790,taekk,tahi
1791,lahhhhhh,lah
1792,kedokk,kedok
1793,"mati""an",mati-matian
1794,nyimak,menyimak
1795,komenx,komennya
1796,serem2,seram-seram
1797,"ngumpet""",mengumpet-ngumpet
1798,blim,belum
1799,sekrang,sekarang
1800,ngerebut,merebut
1801,mnjijikaaaaaan,menjijikkan
1802,astgfrlh,astagfirullah
1803,sahabatt,sahabat
1804,gnyngka,enggak menyangka
1805,sendirir,sendiri
1806,brengsekk,brengsek
1807,ngomentnya,mengomentarinya
1808,nusuk,menusuk
1809,skr,sekarang
1810,dpotong,dipotong
1811,helo,halo
1812,kmrin,kemarin
1813,ngmgin,mengomongkan
1814,bilangg,bilang
1815,gkhianati,mengkhianati
1816,kpd,kepada
1817,hr,hari
1818,sp,sapa
1819,pljaran,pelajaran
1820,spy,supaya
1821,mngikuti,mengikuti
1822,klkuan,kelakuan
1823,dibikin2,dibikin-bikin
1824,gimana,bagaimana
1825,nnt,nanti
1826,cew,cewek
1827,cow,cowok
1828,kasiannn,kasihan
1829,syekaliii,sekali
1830,hgga,hingga
1831,cieeeee,cie
1832,sholihah,salihah
1833,adeuh,aduh
1834,halahh,alah
1835,luu,lu
1836,yuuks,yuk
1837,yoo,ya
1838,ginian,beginian
1839,judulnyaa,judulnya
1840,ayoookkkkkk,ayo
1841,artix,artinya
1842,cewe,cewek
1843,cowo,cowok
1844,lt,lantai
1845,"nama""",nama-nama
1846,cwe,cewek
1847,serem,seram
1848,kepoin,kepo
1849,keluarin,keluarkan
1850,gajelas,enggak jelas
1851,mbak2,mbak-mbak
1852,pedes,pedas
1853,komentnya,komentarnya
1854,omongin,omongkan
1855,ngalirrrrr,mengalir
1856,idup,hidup
1857,nmbah,menambah
1858,terossss,terus
1859,ngehujat,menghujat
1860,dosaa,dosa
1861,ngebela,membela
1862,seindonesiyah,seindonesia
1863,seh,sih
1864,senyumin,senyumi
1865,mh,mah
1866,ngalir,mengalir
1867,ngrusak,merusak
1868,px,punya
1869,kslhn,kesalahan
1870,skrngnya,sekarangnya
1871,emang,memang
1872,kalik,kali
1873,bilangin,bilang
1874,nyambungin,menyambung
1875,sllu,selalu
1876,scra,secara
1877,nggali,menggali
1878,cmpur,campur
1879,dgr,dengar
1880,kurng,kurang
1881,nangiiiiis,menangis
1882,nangiiis,menangis
1883,ngomentarin,mengomentari
1884,idupnya,hidupnya
1885,ortunya,orang tuanya
1886,woey,woy
1887,bloghhh,goblok
1888,ngomongin,mengomongkan
1889,doank,saja
1890,"abal""",abal-abal
1891,dikata2in,dikata-katai
1892,ngehina,menghina
1893,gmna,bagaimana
1894,kebanggan,kebanggaan
1895,dah,deh
1896,jngn,jangan
1897,mnjawab,menjawab
1898,woooiiiiiiii,woy
1899,dosaaaaaaaaaa,dosa
1900,ingt,ingat
1901,karmaaa,karma
1902,woooiiiii,woy
1903,ngkkkkkk,mengakak
1904,makny,maknya
1905,wdooohhh,waduh
1906,kasihn,kasihan
1907,lhirr,lahir
1908,hujatann,hujatan
1909,palgi,apalagi
1910,wihhh,wih
1911,kakakkk,kakak
1912,bagusss,bagus
1913,jt,juta
1914,ngets,banget
1915,stp,setiap
1916,penbelian,pembelian
1917,cuaantik,cantik
1918,sukakkk,suka
1919,m,sama
1920,cucokkk,cocok
1921,lyt,lihat
1922,expresi,ekspresi
1923,natap,menatap
1924,ccok,cocok
1925,helloo,halo
1926,dripada,daripada
1927,difotoin,difoto
1928,psangan,pasangan
1929,cakepp,cakep
1930,ngiriii,mengiri
1931,coxok,cocok
1932,buatin,membuat
1933,nihhh,nih
1934,statusx,statusnya
1935,cem,macam
1936,yee,ya
1937,sunggu,sungguh
1938,lagiii,lagi
1939,ammiiin,amin
1940,haddeh,aduh
1941,maaasss,mas
1942,segerrrr,segar
1943,kemn,kemana
1944,suipit,sipit
1945,sipiit,sipit
1946,kedengeran,kedengaran
1947,semangaatt,semangat
1948,promil,program hamil
1949,lancr,lancar
1950,keputihn,keputihan
1951,gratisss,gratis
1952,kebayang,terbayang
1953,"mdh""",mudah-mudah
1954,bz,bisa
1955,amiinn,amin
1956,ammin,amin
1957,mendapatkn,mendapatkan
1958,lucuuuk,lucu
1959,amaattt,amat
1960,aje,saja
1961,yaoloh,yaallah
1962,ngerayain,merayakan
1963,sotoy,sok tau
1964,yok,yuk
1965,d.bikinin,dibikin
1966,mmz,mas
1967,bikinin,membikin
1968,bapeeeer,bawa perasaan
1969,keliatannya,kelihatannya
1970,siih,sih
1971,diginiin,dibeginikan
1972,hadeehh,aduh
1973,pu,punya
1974,suamiiiii,suami
1975,krenn,keren
1976,kebykan,kebanyakan
1977,tingal,tinggal
1978,pernikahn,pernikahan
1979,ngtain,mengatai
1980,macem,macam
1981,bagusnyeee,bagusnya
1982,kemaren,kemarin
1983,hmpir,hampir
1984,liatnyaaa,lihatnya
1985,waw,wow
1986,mbuh,embuh
1987,bsk,besok
1988,waaa,wah
1989,berbiiiiiihhh,barbie
1990,canteek,cantik
1991,teru,terus
1992,nyatok,mencatok
1993,nyampenya,sampainya
1994,goncengin,boncengkan
1995,kasi,kasih
1996,dianterin,diantar
1997,gebleg,geblek
1998,bosen,bosan
1999,anterin,antarkan
2000,ngantar,mengantar
2001,nganterin,mengantarkan
2002,mz,mas
2003,nerima,menerima
2004,ati2,hati-hati
2005,yeuh,ya
2006,kmn,kemana
2007,dianter,diantar
2008,disupirin,disopiri
2009,jidad,jidat
2010,ciee,cie
2011,novembr,november
2012,hri,hari
2013,bedain,membedakan
2014,genduut,gendut
2015,ehhh,eh
2016,bertatto,bertato
2017,brrt,berarti
2018,kana,kanan
2019,dtg,datang
2020,doong,dong
2021,sblah,sebelah
2022,tauuu,tau
2023,tengaj,tengah
2024,ps,pas
2025,gmpg,gampang
2026,engk,tidak
2027,apal,hapal
2028,dak,indak
2029,rupa2nya,rupa-rupanya
2030,kembaq,kembar
2031,tngh,tengah
2032,mknya,makanya
2033,prmpuan,perempuan
2034,ketuker,tertukar
2035,drimnanya,darimananya
2036,cntikan,cantikan
2037,edaaaan,edan
2038,syp,siapa
2039,bcnda,bercanda
2040,uhhh,uh
2041,bazengg,bajingan
2042,haiii,hai
2043,bosaan,bosan
2044,gitu2,begitu-gitu
2045,kmana2,kemana-mana
2046,hrsnya,harusnya
2047,sdg,sedang
2048,komentar2,komentar-komentar
2049,kenyataan2,kenyataan-kenyataan
2050,silahkan,silakan
2051,lwt,lewat
2052,sukur2,sukur-sukur
2053,baek2,baik-baik
2054,cma,cuma
2055,berbeda2,berbeda-beda
2056,dibkatakan,dikatakan
2057,doonk,dong
2058,pengikuy,pengikut
2059,ngmngin,mengomongkan
2060,sblmnya,sebelumnya
2061,maksd,maksud
2062,adkah,adakah
2063,menbelah,membelah
2064,ayuk,ayo
2065,mngira,mengira
2066,bertolernsi,bertoleransi
2067,slahkan,salahkan
2068,tolernsi,toleransi
2069,sbnarnya,sebenarnya
2070,ingi,ingin
2071,oalaaaa,walah
2072,menjelekan,menjelekkan
2073,hadeuuh,aduh
2074,dikemanain,dikemanakan
2075,aneh2,aneh-aneh
2076,bpknya,bapaknya
2077,baca2,baca-baca
2078,jwb,jawab
2079,komen2,komen-komen
2080,sebelum2nya,sebelum-sebelumnya
2081,sbagai,sebagai
2082,sedihh,sedih
2083,kangennnn,kangen
2084,gndakan,gandakan
2085,kangeeeeeeeenya,kangen
2086,gaa,tidak
2087,ganti'kn,menggantikan
2088,tnang,tenang
2089,amiiiiiiiiiiiiiiiiin,amin
2090,kgeeeen,kangen
2091,kangeenn,kangen
2092,bangeeeet,banget
2093,bsok,besok
2094,hbis,habis
2095,mti,mati
2096,bngetttt,banget
2097,kangeen,kangen
2098,bgect,banget
2099,"kebaikan""y",kebaikannya
2100,dssi,disisi
2101,kngenn,kangen
2102,kangeeeeennn,kangen
2103,lagii,lagi
2104,dasyat,dahsyat
2105,aer,air
2106,bgni,begini
2107,skalii,sekali
2108,gg,tidak
2109,dtinggl,ditinggal
2110,terbaiiikkkkk,terbaik
2111,murahhh,murah
2112,pecahhg,pecah
2113,kakakgh,kakak
2114,terbaeeeek,terbaik
2115,prempuan,perempuan
2116,manteep,mantap
2117,nggeh,engah
2118,indonesiaaa,indonesia
2119,inia,ini
2120,maluu,malu
2121,cobaaaa,coba
2122,dehhh,deh
2123,cepetan,cepatan
2124,ntapsss,mantap
2125,kamiiii,kami
2126,smangat,semangat
2127,qmu,kamu
2128,sdkit2,sedikit-sedikit
2129,tntg,tentang
2130,penyakitny,penyakitnya
2131,ngajarin,mengajari
2132,laenny,lainnya
2133,amiinnn,amin
2134,scpatny,secepatnya
2135,sampein,sampaikan
2136,tuany,tuanya
2137,doa2,doa-doa
2138,pjg,panjang
2139,adeeek,adek
2140,bca,baca
2141,netes,menetes
2142,mataq,mataku
2143,byangin,membayangkan
2144,trjadi,terjadi
2145,dposisi,diposisi
2146,tanda2nya,tanda-tandanya
2147,dijwb,dijawab
2148,tmn2nya,teman-temannya
2149,sayy,sayang
2150,salaam,salam
2151,ngajar,mengajar
2152,fto2,foto-foto
2153,laen,lain
2154,dallam,dalam
2155,tentanh,tentang
2156,nangiss,menangis
2157,nnton,menonton
2158,kejadianny,kejadiannya
2159,klg,keluarga
2160,sayaang,sayang
2161,msg2,masing-masing
2162,pgnnya,penginnya
2163,meluk,memeluk
2164,siiihhh,sih
2165,mupeng,muka pengin
2166,caya,percaya
2167,aduhhhhhhhhh,aduh
2168,buseett,buset
2169,mblo,jomblo
2170,lucuuu,lucu
2171,gagahx,gagahnya
2172,miriiiip,mirip
2173,kaliiii,kali
2174,niru,meniru
2175,bpkmu,bapakmu
2176,sangt,sangat
2177,baang,bang
2178,gasih,enggak sih
2179,yuu,yuk
2180,yuuu,yuk
2181,samaa,sama
2182,ngademin,mengademkan
2183,aahh,ah
2184,makasi,terima kasih
2185,looo,loh
2186,yokk,yuk
2187,gils,gila
2188,ono,sono
2189,weeeh,wih
2190,suksea,sukses
2191,temenan,berteman
2192,sehh,sih
2193,deket,dekat
2194,dekt,dekat
2195,genggg,geng
2196,yawloh,ya allah
2197,bhnya,bahannya
2198,loo,lo
2199,samaaaa,sama
2200,abanggku,abangku
2201,sayanggg,sayang
2202,dsni,disini
2203,ciieeeeeee,cie
2204,kokohh,engkoh
2205,pdhal,padahal
2206,takuttt,takut
2207,yuks,yuk
2208,pnjual,penjual
2209,yh,ya
2210,dung,dong
2211,latian,latihan
2212,aaaaaaakkk,ah
2213,mauuuu,mau
2214,soga,moga
2215,tteh,teteh
2216,sintron,sinetron
2217,astagaa,astaga
2218,ancurrr,hancur
2219,dblkang,dibelakang
2220,yayang,sayang
2221,gokillllll,gila
2222,aplks,aplikasi
2223,ska,suka
2224,ktawa,ketawa
2225,baguuus,bagus
2226,kaaan,kan
2227,ngepoin,mengepoi
2228,uuhh,uh
2229,beut,banget
2230,njirrr,anjir
2231,pengeeenn,pengin
2232,dongggg,dong
2233,hatii,hati
2234,besook,besok
2235,mauu,mau
2236,gtuu,begitu
2237,njayyy,anjay
2238,maacih,terima kasih
2239,tokayyy,tahi
2240,to,tapi
2241,mksdku,maksudku
2242,gituin,begitukan
2243,lgsung,langsung
2244,cba,coba
2245,nh,nih
2246,"ilang""",hilang-hilang
2247,giniin,beginikan
2248,ksini,kesini
2249,kubarikan,kuberikan
2250,ayank,sayang
2251,anyeng,anjing
2252,yankkk,sayang
2253,cukurrr,cukur
2254,gilaaaaaa,gila
2255,yhaaa,ya
2256,qaqaaaa,kakak
2257,sayangkuuuuu,sayangku
2258,kakakuuu,kakakku
2259,banx,bang
2260,edannn,edan
2261,bape,bawa perasaan
2262,"artis""",artis-artis
2263,ngelahirin,melahirkan
2264,paksain,memaksa
2265,biasaa,biasa
2266,hub,hubungan
2267,hubunggi,hubungi
2268,loooh,loh
2269,telimakacih,terima kasih
2270,nerawang,menerawang
2271,cantiiiik,cantik
2272,didapet,didapat
2273,tanya2,tanya-tanya
2274,pede,percaya diri
2275,kuningggg,kuning
2276,nyolot,menyolot
2277,elahh,alah
2278,pnting,penting
2279,bela2in,membela-bela
2280,marah2an,marah-marahan
2281,wlaupun,walaupun
2282,syantiiiiikkkkkkkkkkkk,cantik
2283,"bwa""",bawa-bawa
2284,agma,agama
2285,hijabb,hijab
2286,kerrennn,keren
2287,ngetik,mengetik
2288,ntah,entah
2289,pan,kapan
2290,mateeeek,mati
2291,geetoo,begitu
2292,sewain,menyewa
2293,kokkk,kok
2294,muluuu,melulu
2295,yaaang,yang
2296,iyaa,iya
2297,gituu,begitu
2298,yappp,ya
2299,uwahhhhh,wah
2300,bnr2,benar-benar
2301,psgn,pasangan
2302,ujg,ujung
2303,rmbut,rambut
2304,smp,sampai
2305,kki,kaki
2306,hayukk,hayo
2307,ntab,mantab
2308,atuhhh,atuh
2309,yukss,yuk
2310,lihaatttt,lihat
2311,niiiihh,nih
2312,liattt,lihat
2313,cuyyy,cuy
2314,gapernah,enggak pernah
2315,liatiii,lihat
2316,jombsss,jomblo
2317,emesshhh,gemas
2318,gemeessss,gemas
2319,poollll,pol
2320,gemesyak,gemas ya
2321,bngttt,banget
2322,ngegmesin,menggemaskan
2323,hndak,hendak
2324,hndk,hendak
2325,iiih,ih
2326,lutunaa,lucunya
2327,abiz,habis
2328,gemes,gemas
2329,ngareppppp,mengharap
2330,aamiinin,amin
2331,imuutt,imut
2332,abizzz,habis
2333,tay,tahi
2334,toketnya,teteknya
2335,tumpe2,tumpah-tumpah
2336,lenje,lenjeh
2337,tuuuuh,tuh
2338,cantinya,cantiknya
2339,macam2,macam-macam
2340,"mbak""",mbak-mbak
2341,ngatain,mengatai
2342,mbaknyaahh,mbaknya
2343,pyudara,payudara
2344,ditutupin,ditutupi
2345,bgitu,begitu
2346,ngomongnya,mengomongnya
2347,sich,sih
2348,cantiik2,cantik-cantik
2349,hati.a,hatinya
2350,mk.a,makanya
2351,mlt.a,mulutnya
2352,nyerocooooos,mencerocos
2353,kyk.a,kayaknya
2354,sklh,sekolah
2355,pljrn,pelajaran
2356,srng,sering
2357,ngilang,menghilang
2358,dikatain,dikatai
2359,maluuu,malu
2360,ngalahin,mengalahkan
2361,brisi,berisi
2362,pkoknya,pokoknya
2363,canti,cantik
2364,astagfirullh,astagfirullah
2365,nutupin,menutupi
2366,ori,orisinal
2367,kakakaaaaaaaaaaaaaa,kakak
