,loss,true_positives,true_negatives,false_positives,false_negatives,accuracy,f1_m,precision_m,recall_m,val_loss,val_true_positives,val_true_negatives,val_false_positives,val_false_negatives,val_accuracy,val_f1_m,val_precision_m,val_recall_m
0,0.2558577060699463,390995.0,184565.0,26456.0,31047.0,0.9091669917106628,0.9311463236808777,0.9366365671157837,0.9264963865280151,0.18973706662654877,66561.0,3703.0,535.0,5228.0,0.9241979718208313,0.9583173990249634,0.9920265078544617,0.9271528124809265
1,0.2529113292694092,391232.0,185282.0,25739.0,30810.0,0.910673975944519,0.9322420358657837,0.938285231590271,0.9270176291465759,0.18434306979179382,66761.0,3686.0,552.0,5028.0,0.9266050457954407,0.9597058296203613,0.9918014407157898,0.9299374222755432
2,0.25033119320869446,391585.0,185630.0,25391.0,30457.0,0.9117813110351562,0.9330280423164368,0.9391031265258789,0.9277849197387695,0.19133225083351135,66533.0,3697.0,541.0,5256.0,0.9237507581710815,0.9580639004707336,0.9919366836547852,0.9267498850822449
3,0.24799348413944244,391910.0,186067.0,24954.0,30132.0,0.9129849672317505,0.9339770674705505,0.9401635527610779,0.9285904169082642,0.19374516606330872,66402.0,3718.0,520.0,5387.0,0.9223039150238037,0.957216739654541,0.9922273755073547,0.9249371290206909
4,0.2464274913072586,392037.0,186185.0,24836.0,30005.0,0.9133719801902771,0.934267520904541,0.9404643177986145,0.9289031624794006,0.18934406340122223,66520.0,3726.0,512.0,5269.0,0.9239612221717834,0.9581573009490967,0.9923510551452637,0.9265760183334351
5,0.24437518417835236,392385.0,186528.0,24493.0,29657.0,0.914463460445404,0.9350941181182861,0.9412235021591187,0.9297628402709961,0.1976391077041626,66380.0,3737.0,501.0,5409.0,0.9222644567489624,0.9571807384490967,0.992509126663208,0.9246247410774231
6,0.2441447377204895,392416.0,186443.0,24578.0,29626.0,0.9143781661987305,0.9350378513336182,0.9410842061042786,0.9298164248466492,0.18632008135318756,66778.0,3670.0,568.0,5011.0,0.9266181588172913,0.9597172141075134,0.9915654063224792,0.9301703572273254
7,0.2411722093820572,392736.0,186853.0,24168.0,29306.0,0.9155313372612,0.9358710646629333,0.9420107007026672,0.9305325746536255,0.19497403502464294,66527.0,3710.0,528.0,5262.0,0.9238428473472595,0.9580928087234497,0.9921228885650635,0.9266573190689087
8,0.24023835361003876,392834.0,186974.0,24047.0,29208.0,0.9158772230148315,0.9361670613288879,0.9423415660858154,0.9307952523231506,0.18655090034008026,66848.0,3667.0,571.0,4941.0,0.9274994134902954,0.9602256417274475,0.9915293455123901,0.9311531782150269
9,0.2387336641550064,393120.0,187244.0,23777.0,28922.0,0.9167554974555969,0.9368144869804382,0.9429699182510376,0.931433379650116,0.19668909907341003,66576.0,3702.0,536.0,5213.0,0.9243821501731873,0.9584285020828247,0.9920157790184021,0.9273586273193359
10,0.23701782524585724,393400.0,187394.0,23627.0,28642.0,0.9174347519874573,0.9373645782470703,0.9433959722518921,0.9321245551109314,0.19828912615776062,66134.0,3746.0,492.0,5655.0,0.9191471338272095,0.9553837180137634,0.992620587348938,0.9211952090263367
11,0.2363533228635788,393500.0,187449.0,23572.0,28542.0,0.9176796078681946,0.9375554919242859,0.943503201007843,0.932368814945221,0.1919277161359787,66483.0,3705.0,533.0,5306.0,0.9231983423233032,0.9577396512031555,0.992048978805542,0.926058292388916
12,0.23503577709197998,393647.0,187649.0,23372.0,28395.0,0.9182277321815491,0.937979519367218,0.9439700841903687,0.9327405095100403,0.20111921429634094,66376.0,3728.0,510.0,5413.0,0.9220934510231018,0.9570988416671753,0.9923732876777649,0.9245797395706177
13,0.2355285882949829,393681.0,187506.0,23515.0,28361.0,0.918055534362793,0.9378304481506348,0.9436244368553162,0.9327974319458008,0.19617405533790588,66484.0,3726.0,512.0,5305.0,0.9234877228736877,0.9578943848609924,0.9923614859580994,0.9260797500610352
14,0.23314277827739716,393962.0,187816.0,23205.0,28080.0,0.9189891219139099,0.9385464787483215,0.9443569779396057,0.9334580302238464,0.19869358837604523,66434.0,3730.0,508.0,5355.0,0.9228826761245728,0.9575396776199341,0.9924065470695496,0.9253749847412109
15,0.23306608200073242,393947.0,187749.0,23272.0,28095.0,0.918859601020813,0.938456118106842,0.9442377090454102,0.9334157705307007,0.2019035965204239,66318.0,3752.0,486.0,5471.0,0.921646237373352,0.9568232893943787,0.9927293062210083,0.9237653613090515
16,0.23136690258979797,394175.0,188183.0,22838.0,27867.0,0.9199053049087524,0.9392271637916565,0.9452184438705444,0.9339621067047119,0.1929394006729126,66308.0,3746.0,492.0,5481.0,0.9214358329772949,0.9567053318023682,0.992635190486908,0.9236301183700562
17,0.23117570579051971,394292.0,188014.0,23007.0,27750.0,0.919823169708252,0.939203143119812,0.9448694586753845,0.9342977404594421,0.18719351291656494,66693.0,3683.0,555.0,5096.0,0.9256711602210999,0.9591767191886902,0.9917457699775696,0.9289880394935608
18,0.22985821962356567,394381.0,188203.0,22818.0,27661.0,0.9202622771263123,0.9395433664321899,0.9453583359718323,0.9344626069068909,0.19426389038562775,66559.0,3721.0,517.0,5230.0,0.9244084358215332,0.9584184288978577,0.9922911524772644,0.9271153807640076
19,0.25271955132484436,391464.0,184365.0,26656.0,30578.0,0.9095919132232666,0.9314372539520264,0.9362839460372925,0.9275200366973877,0.1969292014837265,66661.0,3660.0,578.0,5128.0,0.9249477386474609,0.9587711691856384,0.9914047122001648,0.928537905216217
20,0.2492784857749939,392910.0,184084.0,26937.0,29132.0,0.9114322066307068,0.9330156445503235,0.9358925819396973,0.9309358596801758,0.19309081137180328,66634.0,3683.0,555.0,5155.0,0.9248951077461243,0.9587239027023315,0.9917417764663696,0.9281653165817261
21,0.23984850943088531,393549.0,186159.0,24862.0,28493.0,0.9157192707061768,0.9361817836761475,0.9406334757804871,0.9325178861618042,0.19589826464653015,66537.0,3679.0,559.0,5252.0,0.9235666394233704,0.9579652547836304,0.9916704297065735,0.9268097877502441
22,0.23364847898483276,394037.0,187457.0,23564.0,28005.0,0.9185404777526855,0.9382539391517639,0.9435853362083435,0.933687150478363,0.19493147730827332,66498.0,3698.0,540.0,5291.0,0.9233035445213318,0.9578080773353577,0.9919487237930298,0.926273763179779
23,0.24555011093616486,392022.0,185827.0,25194.0,30020.0,0.9127827882766724,0.933815598487854,0.9396569132804871,0.9289027452468872,0.19816631078720093,66217.0,3711.0,527.0,5572.0,0.9197785258293152,0.9557771682739258,0.9921061396598816,0.9223610162734985
24,0.2411348670721054,392516.0,186451.0,24570.0,29526.0,0.9145488142967224,0.9351462721824646,0.9410783052444458,0.9300075769424438,0.19895005226135254,66424.0,3729.0,509.0,5365.0,0.9227379560470581,0.9574586749076843,0.9923881888389587,0.9252349138259888
25,0.23669008910655975,393599.0,186928.0,24093.0,28443.0,0.9170129895210266,0.9370794296264648,0.9423274397850037,0.9325869083404541,0.2026548981666565,66428.0,3711.0,527.0,5361.0,0.9225538372993469,0.957358181476593,0.9921359419822693,0.925286591053009
26,0.23435409367084503,394377.0,186798.0,24223.0,27665.0,0.9180365800857544,0.9379336833953857,0.9421411156654358,0.9344648718833923,0.20140156149864197,66383.0,3713.0,525.0,5406.0,0.9219882488250732,0.957033634185791,0.992156982421875,0.9246657490730286
27,0.2313794195652008,394384.0,187569.0,23452.0,27658.0,0.9192655682563782,0.9388073086738586,0.9438897371292114,0.9344386458396912,0.1915801763534546,66488.0,3714.0,524.0,5301.0,0.9233824610710144,0.9578368067741394,0.9921835064888,0.9261314272880554
28,0.2304352968931198,394424.0,187860.0,23161.0,27618.0,0.9197884202003479,0.9392144083976746,0.9445664286613464,0.9345701932907104,0.20097045600414276,66395.0,3711.0,527.0,5394.0,0.9221197962760925,0.9571175575256348,0.992130696773529,0.9248341917991638
